Timestamp, FPS
2024-11-22 22:43:46.696, 34.66301
2024-11-22 22:43:46.749, 34.66301
2024-11-22 22:43:46.762, 50
2024-11-22 22:43:46.775, 80.24007
2024-11-22 22:43:46.784, 97.34823
2024-11-22 22:43:46.796, 93.88966
2024-11-22 22:43:46.807, 90.29997
2024-11-22 22:43:46.818, 91.8223
2024-11-22 22:43:46.829, 88.25269
2024-11-22 22:43:46.841, 90.66841
2024-11-22 22:43:46.853, 85.25076
2024-11-22 22:43:46.865, 86.41698
2024-11-22 22:43:46.878, 77.42754
2024-11-22 22:43:46.890, 77.37123
2024-11-22 22:43:46.901, 82.31876
2024-11-22 22:43:46.911, 98.30618
2024-11-22 22:43:46.922, 95.75426
2024-11-22 22:43:46.933, 93.22358
2024-11-22 22:43:46.944, 94.04595
2024-11-22 22:43:46.956, 89.87794
2024-11-22 22:43:46.965, 89.76096
2024-11-22 22:43:46.974, 102.5652
2024-11-22 22:43:46.986, 101.5321
2024-11-22 22:43:46.999, 81.45444
2024-11-22 22:43:47.008, 83.63092
2024-11-22 22:43:47.019, 93.70052
2024-11-22 22:43:47.030, 96.81948
2024-11-22 22:43:47.042, 93.51125
2024-11-22 22:43:47.053, 82.94832
2024-11-22 22:43:47.063, 97.76127
2024-11-22 22:43:47.073, 93.1758
2024-11-22 22:43:47.086, 93.86058
2024-11-22 22:43:47.096, 86.3625
2024-11-22 22:43:47.107, 89.78192
2024-11-22 22:43:47.117, 96.53535
2024-11-22 22:43:47.129, 98.84353
2024-11-22 22:43:47.140, 84.66683
2024-11-22 22:43:47.152, 92.18799
2024-11-22 22:43:47.162, 86.33342
2024-11-22 22:43:47.173, 91.82315
2024-11-22 22:43:47.184, 90.36362
2024-11-22 22:43:47.195, 91.21507
2024-11-22 22:43:47.207, 94.35297
2024-11-22 22:43:47.219, 78.85627
2024-11-22 22:43:47.230, 83.92923
2024-11-22 22:43:47.240, 101.3079
2024-11-22 22:43:47.249, 99.54707
2024-11-22 22:43:47.261, 98.94035
2024-11-22 22:43:47.271, 87.10954
2024-11-22 22:43:47.282, 95.87728
2024-11-22 22:43:47.292, 93.36981
2024-11-22 22:43:47.302, 98.48724
2024-11-22 22:43:47.313, 93.68208
2024-11-22 22:43:47.325, 94.31649
2024-11-22 22:43:47.336, 83.41954
2024-11-22 22:43:47.348, 92.84447
2024-11-22 22:43:47.359, 83.00684
2024-11-22 22:43:47.369, 92.87466
2024-11-22 22:43:47.380, 86.91949
2024-11-22 22:43:47.391, 92.65179
2024-11-22 22:43:47.404, 98.24727
2024-11-22 22:43:47.416, 78.67635
2024-11-22 22:43:47.427, 84.13826
2024-11-22 22:43:47.439, 81.33916
2024-11-22 22:43:47.449, 92.90227
2024-11-22 22:43:47.460, 98.71181
2024-11-22 22:43:47.472, 89.04323
2024-11-22 22:43:47.482, 87.11864
2024-11-22 22:43:47.492, 87.27983
2024-11-22 22:43:47.503, 107.095
2024-11-22 22:43:47.513, 98.37968
2024-11-22 22:43:47.526, 99.09428
2024-11-22 22:43:47.537, 81.49693
2024-11-22 22:43:47.550, 78.62995
2024-11-22 22:43:47.560, 85.24059
2024-11-22 22:43:47.573, 83.57361
2024-11-22 22:43:47.583, 90.96532
2024-11-22 22:43:47.593, 94.55907
2024-11-22 22:43:47.604, 105.6412
2024-11-22 22:43:47.615, 85.26675
2024-11-22 22:43:47.627, 94.71671
2024-11-22 22:43:47.640, 81.11155
2024-11-22 22:43:47.650, 82.08227
2024-11-22 22:43:47.663, 89.17345
2024-11-22 22:43:47.674, 80.60161
2024-11-22 22:43:47.684, 96.5046
2024-11-22 22:43:47.695, 90.69801
2024-11-22 22:43:47.706, 93.2514
2024-11-22 22:43:47.719, 94.23383
2024-11-22 22:43:47.730, 72.74844
2024-11-22 22:43:47.740, 92.02087
2024-11-22 22:43:47.752, 93.61893
2024-11-22 22:43:47.763, 99.25165
2024-11-22 22:43:47.773, 82.88644
2024-11-22 22:43:47.784, 92.46844
2024-11-22 22:43:47.794, 99.46191
2024-11-22 22:43:47.805, 101.1798
2024-11-22 22:43:47.816, 87.74778
2024-11-22 22:43:47.826, 96.54373
2024-11-22 22:43:47.836, 102.8934
2024-11-22 22:43:47.845, 101.0581
2024-11-22 22:43:47.855, 104.7911
2024-11-22 22:43:47.866, 102.8415
2024-11-22 22:43:47.876, 92.7704
2024-11-22 22:43:47.887, 101.9836
2024-11-22 22:43:47.898, 87.93373
2024-11-22 22:43:47.909, 90.73011
2024-11-22 22:43:47.922, 82.50076
2024-11-22 22:43:47.931, 88.90707
2024-11-22 22:43:47.940, 104.346
2024-11-22 22:43:47.949, 105.0486
2024-11-22 22:43:47.959, 104.8097
2024-11-22 22:43:47.969, 102.923
2024-11-22 22:43:47.979, 100.1442
2024-11-22 22:43:47.990, 99.57779
2024-11-22 22:43:47.999, 94.94422
2024-11-22 22:43:48.009, 99.52823
2024-11-22 22:43:48.020, 99.45696
2024-11-22 22:43:48.029, 103.812
2024-11-22 22:43:48.040, 95.69195
2024-11-22 22:43:48.050, 102.8479
2024-11-22 22:43:48.060, 97.35771
2024-11-22 22:43:48.070, 103.0492
2024-11-22 22:43:48.079, 103.045
2024-11-22 22:43:48.091, 102.5704
2024-11-22 22:43:48.100, 92.90572
2024-11-22 22:43:48.112, 101.103
2024-11-22 22:43:48.122, 89.28014
2024-11-22 22:43:48.131, 102.3081
2024-11-22 22:43:48.141, 103.9933
2024-11-22 22:43:48.150, 102.3908
2024-11-22 22:43:48.161, 106.3242
2024-11-22 22:43:48.170, 96.70151
2024-11-22 22:43:48.180, 105.2742
